"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",98.3235160851835
"2",2011,"non_critical","MC","Low",99.4292237442922
"3",2011,"critical","MC","Low",99.4292237442922
"4",2012,"non_critical","MC","Low",99.7495446265938
"5",2012,"critical","MC","Low",99.7495446265938
"6",2013,"non_critical","MC","Low",99.9315068493151
"7",2013,"critical","MC","Low",99.9315068493151
"8",2014,"non_critical","MC","Low",99.6118721461187
"9",2014,"critical","MC","Low",99.6118721461187
"10",2015,"non_critical","MC","Low",99.9885844748858
"11",2015,"critical","MC","Low",99.9885844748858
"12",2016,"non_critical","MC","Low",99.5787795992714
"13",2016,"critical","MC","Low",99.5787795992714
"14",2017,"non_critical","MC","Low",99.4505494505495
"15",2017,"critical","MC","Low",99.4505494505495
"16",2010,"non_critical","LOB","Low",99.2297236067059
"17",2011,"non_critical","LOB","Low",99.5890410958904
"18",2011,"critical","LOB","Low",99.5890410958904
"19",2012,"non_critical","LOB","Low",99.8747723132969
"20",2012,"critical","LOB","Low",99.8747723132969
"21",2013,"non_critical","LOB","Low",99.9543378995434
"22",2013,"critical","LOB","Low",99.9543378995434
"23",2014,"non_critical","LOB","Low",99.703196347032
"24",2014,"critical","LOB","Low",99.703196347032
"25",2015,"non_critical","LOB","Low",100
"26",2015,"critical","LOB","Low",100
"27",2016,"non_critical","LOB","Low",99.6812386156649
"28",2016,"critical","LOB","Low",99.6812386156649
"29",2017,"non_critical","LOB","Low",99.5879120879121
"30",2017,"critical","LOB","Low",99.5879120879121
"31",2010,"non_critical","ROB","Low",99.9093792478478
"32",2011,"non_critical","ROB","Low",99.8630136986301
"33",2011,"critical","ROB","Low",99.8630136986301
"34",2012,"non_critical","ROB","Low",99.9430783242259
"35",2012,"critical","ROB","Low",99.9430783242259
"36",2013,"non_critical","ROB","Low",100
"37",2013,"critical","ROB","Low",100
"38",2014,"non_critical","ROB","Low",99.8858447488584
"39",2014,"critical","ROB","Low",99.8858447488584
"40",2015,"non_critical","ROB","Low",100
"41",2015,"critical","ROB","Low",100
"42",2016,"non_critical","ROB","Low",99.8747723132969
"43",2016,"critical","ROB","Low",99.8747723132969
"44",2017,"non_critical","ROB","Low",99.8015873015873
"45",2017,"critical","ROB","Low",99.8015873015873
"46",2010,"non_critical","MC","Medium",96.7376529225193
"47",2011,"non_critical","MC","Medium",97.4315068493151
"48",2011,"critical","MC","Medium",97.4315068493151
"49",2012,"non_critical","MC","Medium",92.8164845173042
"50",2012,"critical","MC","Medium",92.8164845173042
"51",2013,"non_critical","MC","Medium",98.2762557077626
"52",2013,"critical","MC","Medium",98.2762557077626
"53",2014,"non_critical","MC","Medium",85.8447488584475
"54",2014,"critical","MC","Medium",85.8447488584475
"55",2015,"non_critical","MC","Medium",71.5296803652968
